11719;49696;59185
12718;49491;67940
16554;44089;57404
17626;35001;63331
11267;54546;69029
14406;47145;50021
12039;37124;64015
11399;36701;70816
13036;35778;53041
13036;41294;69227
9485;48387;66649
10628;34895;58894
15808;41208;61259
12647;34751;58073
10814;47445;69009
12907;37542;59604
12245;47080;62658
12988;44012;61865
13690;35607;60584
18480;46332;77829
;49616;82988
11427;39060;71658
13169;41294;51828
10879;42307;66786
10925;45982;55369
11427;56293;69098
12163;40361;62477
12163;49312;47942
13353;40839;93445
11646;41740;61295
14075;42293;61642
9953;41224;59362
11646;43479;65815
12345;39315;69707
11110;43678;59272
13123;44270;56911
8839;39847;76871
10753;61724;62616
14142;40335;60320
13288;47244;66533
10607;49053;52613
13050;37350;37203
9014;43164;55159
12500;38000;64467
12870;36476;70842
;40496;68881
9763;40188;73051
10680;37333;60899
12562;46855;66367
9014;43486;62359
7603;43307;89063
12500;41740;70004
9520;44375;73455
9763;43656;53093
12500;41673;50011
11319;41254;63891
8385;41999;52345
6250;43763;53009
12500;46316;63285
11524;43904;59304
13288;43314;59093
12311;45267;50120
12748;37738;58822
9014;42818;72150
8004;46316;71293
11524;45130;55529
12870;47356;64973
10078;50504;55042
11180;33968;66782
9763;55477;66667
13547;49862;60404
9183;47100;52977
12815;43307;62407
9679;48308;66875
12288;43443;54070
11549;36297;68475
11970;40952;55589
11356;39917;50083
11738;50005;53226
11596;48749;37637
8657;42781;59914
13689;45095;61897
10707;46802;63874
13363;31858;64845
9449;45778;58969
10340;44438;76481
17599;48520;64891
9507;43444;30903
12686;27196;55581
12642;49255;49156
13648;44648;51090
7571;42302;49302
11738;25890;98091
15141;45137;48697
14585;56644;62077
14007;56788;61088
12288;32100;65088
11160;49255;66017
12598;40212;64308
13809;42036;57313
13689;44545;60177
14085;46605;66801
13689;42877;71650
11738;43385;64059
8908;42096;66260
14847;41523;67430
13280;44004;57831
14698;41596;60628
14280;40854;60862
12815;42626;49159
10809;43149;55470
12815;35352;46892
15887;44039;32636
9507;44740;56403
8908;42036;60338
11160;48860;59082
9449;39340;59543
9031;43713;108757
8657;47483;69933
8464;51521;58962
10961;45554;53062
8464;53400;57622
8970;33953;89809
9390;35967;89196
7424;45710;65970
9679;51503;58034
13689;54953;62482
8200;34357;66603
7571;44248;55172
8908;53814;60000
8657;34674;44407
11769;45853;65513
11319;41998;77975
11319;46228;105930
11165;33605;54966
12413;44499;49782
11769;38448;70796
10608;38905;70320
11769;27219;60666
7086;35260;63589
9211;37054;
12131;35097;65243
7895;39221;75349
10608;43417;67527
13158;48374;65201
10277;44102;61283
8322;37802;40934
13737;43932;67193
10608;41773;44996
10526;41761;49761
8004;46530;97780
14556;57428;58759
14599;45706;74261
13931;46043;62207
14083;39850;64959
15328;36072;62056
13994;50023;62807
15365;42675;60578
16652;39186;55477
12618;40534;68938
13743;50870;59695
15291;50040;53760
14882;45255;56370
13005;41299;70373
17285;41299;57250
12547;42105;58905
13307;41183;60951
12153;48415;65617
14674;;71146
13048;40497;85076
12676;40418;94109
12969;31241;52227
11644;39069;77069
13555;40792;68517
13307;41144;73787
14899;40418;60630
13736;44181;68755
13761;42802;65886
11126;43909;79083
12383;43174;46375
11702;45607;60295
14905;42671;66182
12649;;66927
18341;42757;64785
13052;53032;64627
13021;35813;60995
13279;43422;105520
12292;41700;90531
11219;29020;44016
16642;58038;62138
12937;49710;41778
14226;41980;87268
12768;40596;74273
14914;45883;70194
14731;44735;69275
13021;52600;85460
11423;41432;67496
16772;39104;69609
10875;31530;62122
14704;45604;52389
15841;46407;64524
11470;40407;59810
;43840;73492
;36831;
;56259;
;34116;
;39228;
